time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.45,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.45,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.05,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.15,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.7464944124221802,1.144158124923706,-0.4640199840068817,2.7750632806843294,0.43272876653941506,0.03345785883780805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
